source_file,sheet,row,key,value_1,value_2,value_3,value_4
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,26,Measure Current,Measured,N/A,No,No
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,27,Measure Voltage,No,N/A,No,Programmed
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,28,Current Range,Limited Auto=1uA,N/A,Limited Auto=1uA,Auto
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,29,Voltage Range,Best Fixed,N/A,Best Fixed,Best Fixed
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,30,AC Measure I Range,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,31,Dual Sweep,N/A,N/A,N/A,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,32,Pulse Mode,Disabled,N/A,Disabled,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,33,Pulse On Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,34,Pulse Off Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,35,Pulse Base Voltage,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,36,Presoak,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,37,Frequency Mode,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,38,Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,39,Start Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,40,Stop Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,41,Frequency Points,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,42,AC Drive Signal,OFF,N/A,OFF,OFF
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,43,Overvoltage Protection,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,44,Compensation,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,45,CVU Path,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,47,Formulas,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,48,"GM = DIFF(DRAINI, GATEV)",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,49,"IDLIN = TANFIT(GATEV, DRAINI, MAXPOS(GM))",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,50,"VT = TANFITXINT(GATEV, DRAINI, MAXPOS(GM))",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,56,Test Name,vgs-id#1@1,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,57,Mode,Sweeping,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,58,Speed,Normal,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,59,Sweep Delay,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,60,Hold Time,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,61,Site Coordinate,"0,0",,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,62,Last Executed,07/11/2026 15:53:03,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,63,Clarius+ Version,V1.12,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,64,Execution Time,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,65,Interlock,High Voltage Enabled,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,67,Device Terminal,Drain,Bulk,Source,Gate
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,68,Instrument,SMU3,GNDU,SMU4,SMU1
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,69,Name,DrainV,N/A,SourceV,GateV
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,70,Operation Mode,Voltage Bias,Common,Voltage Bias,Voltage Linear Sweep
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,71,Master/Subordinate,N/A,N/A,N/A,Master
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,72,Start/Bias,0.1,0,0,-10
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,73,Stop,N/A,N/A,N/A,8
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,74,Step,N/A,N/A,N/A,0.05
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,75,Number of Points,0,N/A,0,361
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,76,Compliance,0.1,N/A,0.1,0.1
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,77,Measure Current,Measured,N/A,No,No
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,78,Measure Voltage,No,N/A,No,Programmed
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,79,Current Range,Limited Auto=1uA,N/A,Limited Auto=1uA,Auto
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,80,Voltage Range,Best Fixed,N/A,Best Fixed,Best Fixed
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,81,AC Measure I Range,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,82,Dual Sweep,N/A,N/A,N/A,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,83,Pulse Mode,Disabled,N/A,Disabled,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,84,Pulse On Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,85,Pulse Off Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,86,Pulse Base Voltage,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,87,Presoak,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,88,Frequency Mode,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,89,Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,90,Start Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,91,Stop Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,92,Frequency Points,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,93,AC Drive Signal,OFF,N/A,OFF,OFF
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,94,Overvoltage Protection,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,95,Compensation,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,96,CVU Path,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,98,Formulas,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,99,"GM = DIFF(DRAINI, GATEV)",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,100,"IDLIN = TANFIT(GATEV, DRAINI, MAXPOS(GM))",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,101,"VT = TANFITXINT(GATEV, DRAINI, MAXPOS(GM))",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,107,Test Name,vgs-id#1@1,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,108,Mode,Sweeping,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,109,Speed,Normal,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,110,Sweep Delay,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,111,Hold Time,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,112,Site Coordinate,"0,0",,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,113,Last Executed,07/11/2026 15:50:20,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,114,Clarius+ Version,V1.12,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,115,Execution Time,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,116,Interlock,High Voltage Enabled,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,118,Device Terminal,Drain,Bulk,Source,Gate
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,119,Instrument,SMU3,GNDU,SMU4,SMU1
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,120,Name,DrainV,N/A,SourceV,GateV
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,121,Operation Mode,Voltage Bias,Common,Voltage Bias,Voltage Linear Sweep
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,122,Master/Subordinate,N/A,N/A,N/A,Master
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,123,Start/Bias,0.1,0,0,-10
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,124,Stop,N/A,N/A,N/A,8
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,125,Step,N/A,N/A,N/A,0.05
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,126,Number of Points,0,N/A,0,361
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,127,Compliance,0.1,N/A,0.1,0.1
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,128,Measure Current,Measured,N/A,No,No
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,129,Measure Voltage,No,N/A,No,Programmed
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,130,Current Range,Limited Auto=1uA,N/A,Limited Auto=1uA,Auto
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,131,Voltage Range,Best Fixed,N/A,Best Fixed,Best Fixed
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,132,AC Measure I Range,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,133,Dual Sweep,N/A,N/A,N/A,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,134,Pulse Mode,Disabled,N/A,Disabled,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,135,Pulse On Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,136,Pulse Off Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,137,Pulse Base Voltage,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,138,Presoak,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,139,Frequency Mode,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,140,Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,141,Start Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,142,Stop Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,143,Frequency Points,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,144,AC Drive Signal,OFF,N/A,OFF,OFF
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,145,Overvoltage Protection,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,146,Compensation,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,147,CVU Path,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,149,Formulas,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,150,"GM = DIFF(DRAINI, GATEV)",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,151,"IDLIN = TANFIT(GATEV, DRAINI, MAXPOS(GM))",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,152,"VT = TANFITXINT(GATEV, DRAINI, MAXPOS(GM))",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,5,Test Name,vgs-id#1@1,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,6,Mode,Sweeping,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,7,Speed,Normal,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,8,Sweep Delay,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,9,Hold Time,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,10,Site Coordinate,"0,0",,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,11,Last Executed,07/11/2026 17:09:50,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,12,Clarius+ Version,V1.12,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,13,Execution Time,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,14,Interlock,High Voltage Enabled,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,16,Device Terminal,Drain,Bulk,Source,Gate
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,17,Instrument,SMU3,GNDU,SMU4,SMU1
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,18,Name,DrainV,N/A,SourceV,GateV
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,19,Operation Mode,Voltage Bias,Common,Voltage Bias,Voltage Linear Sweep
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,20,Master/Subordinate,N/A,N/A,N/A,Master
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,21,Start/Bias,0.1,0,0,-10
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,22,Stop,N/A,N/A,N/A,8
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,23,Step,N/A,N/A,N/A,0.05
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,24,Number of Points,0,N/A,0,361
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,25,Compliance,0.1,N/A,0.1,0.1
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,26,Measure Current,Measured,N/A,No,No
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,27,Measure Voltage,No,N/A,No,Programmed
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,28,Current Range,Limited Auto=1uA,N/A,Limited Auto=1uA,Auto
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,29,Voltage Range,Best Fixed,N/A,Best Fixed,Best Fixed
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,30,AC Measure I Range,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,31,Dual Sweep,N/A,N/A,N/A,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,32,Pulse Mode,Disabled,N/A,Disabled,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,33,Pulse On Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,34,Pulse Off Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,35,Pulse Base Voltage,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,36,Presoak,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,37,Frequency Mode,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,38,Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,39,Start Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,40,Stop Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,41,Frequency Points,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,42,AC Drive Signal,OFF,N/A,OFF,OFF
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,43,Overvoltage Protection,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,44,Compensation,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,45,CVU Path,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,47,Formulas,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,48,"GM = DIFF(DRAINI, GATEV)",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,49,"IDLIN = TANFIT(GATEV, DRAINI, MAXPOS(GM))",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,50,"VT = TANFITXINT(GATEV, DRAINI, MAXPOS(GM))",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,56,Test Name,vgs-id#1@1,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,57,Mode,Sweeping,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,58,Speed,Normal,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,59,Sweep Delay,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,60,Hold Time,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,61,Site Coordinate,"0,0",,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,62,Last Executed,07/11/2026 17:08:21,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,63,Clarius+ Version,V1.12,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,64,Execution Time,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,65,Interlock,High Voltage Enabled,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,67,Device Terminal,Drain,Bulk,Source,Gate
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,68,Instrument,SMU3,GNDU,SMU4,SMU1
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,69,Name,DrainV,N/A,SourceV,GateV
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,70,Operation Mode,Voltage Bias,Common,Voltage Bias,Voltage Linear Sweep
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,71,Master/Subordinate,N/A,N/A,N/A,Master
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,72,Start/Bias,0.1,0,0,-10
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,73,Stop,N/A,N/A,N/A,8
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,74,Step,N/A,N/A,N/A,0.05
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,75,Number of Points,0,N/A,0,361
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,76,Compliance,0.1,N/A,0.1,0.1
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,77,Measure Current,Measured,N/A,No,No
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,78,Measure Voltage,No,N/A,No,Programmed
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,79,Current Range,Limited Auto=1uA,N/A,Limited Auto=1uA,Auto
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,80,Voltage Range,Best Fixed,N/A,Best Fixed,Best Fixed
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,81,AC Measure I Range,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,82,Dual Sweep,N/A,N/A,N/A,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,83,Pulse Mode,Disabled,N/A,Disabled,Disabled
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,84,Pulse On Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,85,Pulse Off Time,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,86,Pulse Base Voltage,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,87,Presoak,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,88,Frequency Mode,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,89,Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,90,Start Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,91,Stop Frequency,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,92,Frequency Points,N/A,N/A,N/A,N/A
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,93,AC Drive Signal,OFF,N/A,OFF,OFF
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,94,Overvoltage Protection,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,95,Compensation,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,96,CVU Path,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,98,Formulas,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,99,"GM = DIFF(DRAINI, GATEV)",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,100,"IDLIN = TANFIT(GATEV, DRAINI, MAXPOS(GM))",,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,101,"VT = TANFITXINT(GATEV, DRAINI, MAXPOS(GM))",,,,
