source_file,sheet,device_group,device_no,device_id,dose_krad_si,scan_no,sweep,point_no,DrainI,DrainV,GateI,GateV
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,29,5.86801385260571e-10,28.0,-2.90793306101378e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,30,6.02836836005594e-10,29.0,-2.99409913528947e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,31,6.23496199114726e-10,30.0,-3.00040381429056e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,32,6.50900611187666e-10,31.0,-3.01091207521864e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,33,6.68081423516043e-10,32.0,-3.0247826465768e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,34,6.8305627820564e-10,33.0,-3.06933672922227e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,35,6.88146872818152e-10,34.0,-3.04579861332144e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,36,7.03333835616604e-10,35.0,-3.10464376429564e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,37,7.19581394470481e-10,36.0,-3.07311953662293e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,38,7.22211512815818e-10,37.0,-3.10506426126622e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,39,7.31204929937945e-10,38.0,-3.11599246405336e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,40,7.3693184887702e-10,39.0,-3.07059766502249e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,41,7.34004745872596e-10,40.0,-3.03234853893386e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,42,7.43167860584038e-10,41.0,-2.98947561150342e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,43,7.45713157890293e-10,42.0,-2.96509677921719e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,44,7.53603623948607e-10,43.0,-2.9680391477882e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,45,7.70741970246291e-10,44.0,-2.98401137133197e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,46,7.69002694855914e-10,45.0,-2.94366059305773e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,47,7.80541353773145e-10,46.0,-2.94660268407299e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,48,7.83256404179866e-10,47.0,-2.91718038614164e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,49,7.75111419493157e-10,48.0,-2.91171614597019e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,50,7.79268705120018e-10,49.0,-2.90078766562729e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,51,7.89704468484587e-10,50.0,-2.86337925592406e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,52,7.90128684702296e-10,51.0,-2.85034912339555e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,53,7.94201149290075e-10,52.0,-2.84740703238029e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,54,7.92674037519703e-10,53.0,-2.79192446939192e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,55,7.79692976848878e-10,54.0,-2.78730094560586e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,56,7.93734522552825e-10,55.0,-2.78267742181981e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,57,7.86141041153599e-10,56.0,-2.73518097060332e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,58,7.90340792811151e-10,57.0,-2.73644190640354e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,59,8.01624988611138e-10,58.0,-2.71332428747328e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,60,7.89534826406424e-10,59.0,-2.6448115919564e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,61,8.04042998847621e-10,60.0,-2.70071465191535e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,62,8.03321853481975e-10,61.0,-2.65910266028513e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,63,8.06206545966859e-10,62.0,-2.67255301222846e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,64,8.24108503660881e-10,63.0,-2.67255301222846e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,65,8.2771434151141e-10,64.0,-2.63598504135487e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,66,8.44046665893217e-10,65.0,-2.630941298154e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,67,8.51258397105426e-10,66.0,-2.61202670603922e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,68,8.67251381819756e-10,67.0,-2.63598504135487e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,69,9.03097707727341e-10,68.0,-2.58260440810787e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,70,9.27447785237234e-10,69.0,-2.57419752180965e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,71,9.80177938814109e-10,70.0,-2.59815585712531e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,72,1.03757458180809e-09,71.0,-2.59521404366581e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,73,1.19843768242589e-09,72.0,-2.54183285530729e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,74,1.25316168553269e-09,73.0,-2.54855830883471e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,75,1.46913059495546e-09,74.0,-2.51241055737594e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,76,1.79425074797734e-09,75.0,-2.52123738553323e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,77,2.24625407163614e-09,76.0,-2.52207782436287e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,78,2.64009725192693e-09,77.0,-2.47500187011696e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,79,3.25623017438659e-09,78.0,-2.48971315786051e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,80,3.96904242805363e-09,79.0,-2.47668330288775e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,81,4.78489692312678e-09,80.0,-2.47121878516054e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,82,5.85956616561134e-09,81.0,-2.47163928213112e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,83,7.05848846038748e-09,82.0,-2.48088660725898e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,84,8.89700402240123e-09,83.0,-2.48803200264547e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,85,1.07937632165545e-08,84.0,-2.48004589087358e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,86,1.38275098038321e-08,85.0,-2.48887271903087e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,87,1.78288530605641e-08,86.0,-2.45356568395749e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,88,2.21414460099822e-08,87.0,-2.51367149317616e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,89,2.83748917695448e-08,88.0,-2.50148207703305e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,90,3.38315970793701e-08,89.0,-2.52375925713366e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,91,4.07648776956648e-08,90.0,-2.49601811441735e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,92,5.07882766953571e-08,91.0,-2.51409171259098e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,93,8.03789959036294e-08,92.0,-2.4758423089466e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,94,9.723102323278e-08,93.0,-2.47920489693243e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,95,1.14478552859509e-07,94.0,-2.4729004954871e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,96,1.34058879552867e-07,95.0,-2.43002756805666e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,97,1.62037608220089e-07,96.0,-2.42582426368543e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,98,1.82229584311244e-07,97.0,-2.46029030481765e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,99,2.05876673931016e-07,98.0,-2.45062331538648e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,100,7.26848767840238e-08,99.0,-2.40522879391136e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,101,6.05441670131768e-08,100.0,-2.36697939026698e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,102,1.94304135447965e-07,101.0,-2.38253111684017e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,103,8.45076471023276e-08,102.0,-2.31780150627969e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,104,7.54261719748683e-08,103.0,-2.31065583333745e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,105,9.07981672071401e-08,104.0,-2.23205620653033e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,106,8.63761044911371e-08,105.0,-2.29384317096404e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,107,1.01879223279866e-07,106.0,-2.23415758116019e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,108,9.43147426823998e-08,107.0,-2.1673263184141e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,109,1.1488082662936e-07,108.0,-2.17741435992735e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,110,1.24541330137617e-07,109.0,-2.13538187132656e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,111,0.000145439975312911,110.0,-2.08578376792445e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,112,0.00488732289522886,111.0,-1.98112387606031e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,113,0.00778628932312131,112.0,-2.07485584269307e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,114,0.00999993830919266,113.0,-2.42162123686995e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,115,0.00999994482845068,114.0,-2.36193509195459e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,116,0.00999993924051523,115.0,-2.35268832193825e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,117,0.00999994482845068,116.0,-2.36866054548202e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,118,0.00999994296580553,117.0,-2.30813423929277e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,119,0.0099999587982893,118.0,-2.33335351040864e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,120,0.00999994575977325,119.0,-2.30098856635053e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,121,0.00999995227903128,120.0,-2.29720575894987e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,122,0.00999993272125721,121.0,-2.30224950215074e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,123,0.0099999476224184,122.0,-2.31864250022085e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,124,0.00999993924051523,123.0,-2.33335351040864e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,125,0.00999995693564415,124.0,-2.38757486004104e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,126,0.00999994203448296,125.0,-2.3371363178093e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,127,0.00999994855374098,126.0,-2.34596286841082e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,128,0.00999992806464434,127.0,-2.28627727860697e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,129,0.00999994203448296,128.0,-2.30813423929277e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,130,0.00999993737787008,129.0,-2.28375568456229e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,131,0.009999955072999,130.0,-2.28837920834835e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,132,0.00999994203448296,131.0,-2.31738128686487e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,133,0.00999994482845068,132.0,-2.34470221016636e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,134,0.00999992620199919,133.0,-2.29510410676426e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,135,0.00999993830919266,134.0,-2.32788927023719e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,136,0.00999993737787008,135.0,-2.32326574645114e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,137,0.00999994855374098,136.0,-2.29342295154922e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,138,0.00999993830919266,137.0,-2.26526131186233e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,139,0.00999993365257978,138.0,-2.29468360979368e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,140,0.00999992992728949,139.0,-2.30939517509299e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,141,0.00999992992728949,140.0,-2.3371363178093e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,142,0.00999993365257978,141.0,-2.2820742517915e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,143,0.00999994017183781,142.0,-2.2728272042194e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,144,0.00999993458390236,143.0,-2.27913188322049e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,145,0.00999992433935404,144.0,-2.22827312157392e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,146,0.00999992620199919,145.0,-2.24634671974755e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,147,0.00999992433935404,146.0,-2.29678553953505e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,148,0.00999993830919266,147.0,-2.26862389984817e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,149,0.00999992806464434,148.0,-2.26946461623356e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,150,0.00999993924051523,149.0,-2.31275776307882e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,151,0.00999991595745087,150.0,-2.31906271963567e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,1,5.73142366899759e-11,0.0,6.16681206100367e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,2,8.55232551444374e-11,1.0,1.84884718645861e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,3,1.03212188795609e-10,2.0,-2.66281441341221e-12,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,4,1.18101473045584e-10,3.0,-9.66467461616105e-11,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,5,1.25864291211641e-10,4.0,-1.42882095044428e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,6,1.40286893213215e-10,5.0,-1.6238504985111e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,7,1.61284596789102e-10,6.0,-1.74784520190485e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,8,1.82579229512925e-10,7.0,-1.86847759486852e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,9,2.05400946251544e-10,8.0,-1.95380295275882e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,10,2.22580870401501e-10,9.0,-2.07695721732293e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,11,2.34924968367523e-10,10.0,-2.11983014475337e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,12,2.53547155493195e-10,11.0,-2.25433283151943e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,13,2.83792295219243e-10,12.0,-2.34974595336723e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,14,2.98978508617154e-10,13.0,-2.47332071490192e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,15,3.21291188098982e-10,14.0,-2.53678911210642e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,16,3.43052419804479e-10,15.0,-2.62211474755247e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,17,3.69988845116964e-10,16.0,-2.73518097060332e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,18,3.93192339798176e-10,17.0,-2.89406248965562e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,19,4.20468132533713e-10,18.0,-2.99704150386049e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,20,4.51307130555634e-10,19.0,-3.10296233152485e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,21,4.71414351999044e-10,20.0,-3.21140558590116e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,22,4.99412677879008e-10,21.0,-3.29462929160584e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,23,5.28004917565994e-10,22.0,-3.40811601162727e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,24,5.51888312827487e-10,23.0,-3.50899337364652e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,25,5.80141212846996e-10,24.0,-3.60860952230979e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,26,6.02964067564216e-10,25.0,-3.68720970422842e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,27,6.31853291910289e-10,26.0,-3.80027620483503e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,28,6.58918308804601e-10,27.0,-3.9015737862691e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,29,6.85389467403041e-10,28.0,-4.02094524343255e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,output,30,7.05794311883778e-10,29.0,-4.03523603420552e-10,-20.0
